,Unnamed: 0,item name,Время чтения,Сложность,Количество просмотров,В закладках,Комментарии,Автор,Рейтинг автора,Время публикации,Savings_per_Views,norm_ReadingTime,hour
133,133,"Rust, Telegram и GTFS против Петербургского транспорта",12,1,4200.0,23,2,@aectaan,19.0,2023-05-10 10:54:00,0.0054761904761904765,0.13253012048192772,10
134,134,"Потратили $50'000 на создание интерактивного QA-учебника, перевели на русский и выложили бесплатно",8,1,5900.0,74,9,@lilia_urmazova,5.0,2023-05-10 10:54:00,0.012542372881355932,0.08433734939759036,10
135,135,Решаем криптографическую задачу: Из России с любовью,5,1,1400.0,16,4,@jasiejames,31.1,2023-05-10 10:52:00,0.011428571428571429,0.04819277108433735,10
136,136,«Внешняя» навигация в многомодульном проекте на Kotlin,8,2,2100.0,20,3,@onthecrow1,4.0,2023-05-10 10:31:00,0.009523809523809525,0.08433734939759036,10
137,137,JavaScript для самых маленьких. Часть 2,8,",",3400.0,85,3,@OkoloWEB,35.0,2023-05-10 10:01:00,0.025,0.08433734939759036,10
138,138,Интервью с создателем обобщённого программирования Александром Степановым,9,1,4000.0,23,31,@sermp,21.0,2023-05-10 09:10:00,0.00575,0.0963855421686747,9
139,139,"Управлять инструментом, который управляет всем: наш путь к GitOps",5,",",1700.0,14,2,@AlisSha,3.0,2023-05-10 09:00:00,0.00823529411764706,0.04819277108433735,9
140,140,Производная с вещественным показателем,7,2,9700.0,47,63,@vkomen,41.0,2023-05-10 06:54:00,0.004845360824742268,0.07228915662650602,6
141,141,Как убрать пустые оборотные страницы из PDF после двухстороннего сканирования,6,2,4200.0,34,9,@empenoso,12.9,2023-05-10 03:42:00,0.008095238095238095,0.060240963855421686,3
142,142,VSСode. Как настроить окружение для разработки в Docker на удаленном сервере через SSH,3,1,9600.0,169,20,@ivlucky,11.0,2023-05-10 00:29:00,0.017604166666666667,0.024096385542168676,0
143,143,Язык PL/I: десять тонн синтаксического сахара,15,1,11000.0,24,53,@vadimr,31.0,2023-05-09 23:30:00,0.002181818181818182,0.1686746987951807,23
144,144,Изменение ландшафта угроз информационной безопасности в России,4,1,3000.0,5,14,@Neith,-10.0,2023-05-09 22:51:00,0.0016666666666666668,0.03614457831325301,22
145,145,Fortigate SSL VPN рекомендации по ужесточению конфигурации,9,1,3700.0,25,12,@yurisk,2.4,2023-05-09 21:06:00,0.006756756756756757,0.0963855421686747,21
146,146,Kerberos аутентификация при подключении из Java к MSSQL,4,2,2200.0,17,18,@hardpoint,-1.9,2023-05-09 18:24:00,0.007727272727272728,0.03614457831325301,18
147,147,Token-Based Authetification в автономных системах посредством Qt6 с использованием Qr-кодов. Qr-коды,7,2,1300.0,10,0,@TheGast,-5.0,2023-05-09 18:21:00,0.007692307692307693,0.07228915662650602,18
148,148,Ниже действительно некуда: индустрии NAND грозит банкротство крупных поставщиков. Что происходит?,4,",",27000.0,20,56,@kalmagaev,58.0,2023-05-09 16:07:00,0.0007407407407407407,0.03614457831325301,16
149,149,"200 миллиардов коробок в год. Рынок, который убивает планету",3,1,36000.0,33,373,@vikdovnar,37.1,2023-05-09 14:45:00,0.0009166666666666666,0.024096385542168676,14
150,150,Алгоритмы поиска подстроки на JavaScript,5,2,5600.0,56,14,@Nyppy,9.0,2023-05-09 13:52:00,0.01,0.04819277108433735,13
151,151,Как создать собственный кэшбэк-сервис,9,",",3300.0,23,1,@Qurif,-4.0,2023-05-09 13:36:00,0.0069696969696969695,0.0963855421686747,13
152,152,Как я делал лучшие арифметические ядра и сделал лучший селектор (демультиплексор),3,2,5700.0,38,11,@ValeriyPus,3.6,2023-05-09 11:59:00,0.006666666666666667,0.024096385542168676,11
153,153,Понимание и тестирование адаптивного веб-дизайна,6,2,2100.0,26,7,@ProQualityCommunity,2.6,2023-05-09 11:41:00,0.012380952380952381,0.060240963855421686,11
154,154,Создание чек-листов из чит-листов,5,1,4500.0,41,1,@Eventoi,9.0,2023-05-09 11:15:00,0.009111111111111111,0.04819277108433735,11
155,155,Процессор ЭВМ ЕС-1020. Микропрограммное управление,24,2,5100.0,17,34,@SIISII,161.3,2023-05-09 11:06:00,0.0033333333333333335,0.27710843373493976,11
156,156,Разбираемся с подключением блока индикации от системы автоведения поезда,8,2,4900.0,20,65,@MaFrance351,137.3,2023-05-09 11:01:00,0.004081632653061225,0.08433734939759036,11
157,157,[Паттерны API] Списки и организация доступа к ним,11,3,5700.0,64,0,@forgotten,22.0,2023-05-09 09:53:00,0.011228070175438596,0.12048192771084337,9
